month,revenue_tm0,revenue_tm1,streams_tm0,streams_tm1,streams_tm2,facebook_likes,facebook_talks,instagram_followers,spotify_followers,spotify_listeners,spotify_popularity,wikipedia_views,youtube_comments,youtube_subscribers,youtube_videos,youtube_views
10/1/16,5167.267524,4113.88818,1911607,1409300,889634,0,0,177526,0,0,0,2496,633,170227,349,93665284
12/1/16,3574.866796,4792.084842,1215514,1872653,1911607,0,0,185661,613302,0,70,2016,633,189901,355,104223304
1/1/17,3689.008666,3574.866796,1230981,1215514,1872653,0,0,191073,625190,0,70,2273,633,194303,359,108679876
2/1/17,3379.691189,3689.008666,1122420,1230981,1215514,0,0,201159,638742,0,71,2328,633,199564,361,111693538
3/1/17,3403.25884,3379.691189,1185009,1122420,1230981,0,0,207711,652495,0,68,1764,633,204518,363,115453692
4/1/17,3525.841699,3403.25884,1206010,1185009,1122420,0,0,211385,663499,0,67,1791,633,208799,364,118919999
5/1/17,3596.928127,3525.841699,1148581,1206010,1185009,0,0,214389,673903,0,68,1757,633,212807,364,122064656
6/1/17,3850.080066,3596.928127,1260389,1148581,1206010,0,0,218344,684581,0,69,1864,633,217156,371,125262882
7/1/17,4643.550632,3850.080066,1548130,1260389,1148581,0,0,221245,695639,0,70,1684,633,223008,377,128589731
8/1/17,4336.252641,4643.550632,1560726,1548130,1260389,0,0,223331,705725,0,71,1553,633,227300,377,131553428
9/1/17,4349.202422,4336.252641,1532760,1560726,1548130,0,0,228795,715533,0,71,1663,633,231764,377,134465300
10/1/17,4715.175038,4349.202422,1608994,1532760,1560726,0,0,232219,727555,0,72,1471,633,235808,377,137155178
12/1/17,4240.623482,4398.132239,1472245,1613262,1608994,0,0,240733,752090,0,71,1768,633,244776,377,142660999
2/1/18,5556.765564,4739.988757,1445762,1576256,1472245,0,0,246873,778454,0,72,1825,633,258690,381,150630223
3/1/18,9684.90745,5556.765564,1928647,1445762,1576256,0,0,252828,794264,4303721,72,2432,633,268192,390,155084889
6/1/18,3754.65125,3255.744953,957213,751688,855917,0,0,283092,839031,4059849,76,1668,0,297447,394,166543595
9/1/18,3558.969161,3877.44457,1088635,1227155,1224803,0,0,307919,880417,3770347,72,1699,0,316834,405,177047498
10/1/18,3766.265372,3558.969161,1175980,1088635,1227155,0,0,317747,893735,3750026,73,1537,0,322736,409,180597981
7/1/16,68565.09489,68469.03853,14667737,13863411,14721226,118157,0,0,0,0,0,1238,211,134451,13,115088784
5/1/17,100695.1564,99456.72437,32057075,28985894,29798761,131678,0,0,191518,0,68,1758,211,247933,13,177707958
6/1/17,110293.7692,100695.1564,36144215,32057075,28985894,132288,0,0,197674,0,69,1796,211,264119,13,186308665
7/1/18,139141.1535,130932.2735,68999109,70799249,62308433,134601,693,0,329247,6195859,66,1387,0,418891,13,272225284
10/1/18,133548.7746,127694.0564,79283581,69414316,68434724,135041,577,0,361212,6162879,70,862,0,453136,13,292573221
7/1/17,91904.17906,80255.32529,18339991,17682516,18041498,5970957,0,1770548,641065,0,69,4665,2338,117107,94,62698838
9/1/18,119329.5533,108981.7152,27166699,26262043,27316627,5891304,52818,2255478,1268021,5250911,71,10983,0,488295,102,76615500
